Year,COTTON AREA (1000 ha),COTTON PRODUCTION (1000 tons),COTTON YIELD (Kg per ha),TOTAL AREA (1000 ha),FOREST AREA (1000 ha),BARREN AND UNCULTIVABLE LAND AREA (1000 ha),LAND PUT TO NONAGRICULTURAL USE AREA (1000 ha),PERMANENT PASTURES AREA (1000 ha),OTHER FALLOW AREA (1000 ha),NET CROPPED AREA (1000 ha),GROSS CROPPED AREA (1000 ha),CROPING INTENSITY (Percent),NITROGEN CONSUMPTION (tons),PHOSPHATE CONSUMPTION (tons),POTASH CONSUMPTION (tons),TOTAL CONSUMPTION (tons),TOTAL PER HA OF NCA (Kg per ha)
1990,3,,5001,1226.18,158.84,61.89,157.27,7.16,33.51,668.95,892.96,137.29,0,0,0,0,0
1990,0,0,0,1630.3,138.67,47.92,132.13,137.24,50.95,,1367.8,132.34,22147,9042,3333,34515,34.24
1990,0,0,0,2429.98,935.85,,,152.57,49.6,866.4,897.3,107.46,1786,1170,218,3171,4.66
1990,0,0,0,1526.62,177.75,23.35,138.26,146.87,,939.3,1179.7,127.89,30815,13883,8259,52954,57.55
1990,0,,0,,123.67,120.27,75.75,101.12,33.13,546.8,584,,11178,3413,1312,15898,32.12
1990,5,0,0,1807.37,681.65,47.47,114.57,206.47,43.12,595.9,683.2,115.53,3756,3447,312,7508,15.64
1990,1120,3295,2951,894.77,14.5,72.92,78.55,37.51,6.1,532.24,573.9,110.06,26663,9557,3251,39466,76.57
1990,233,556,2382,676,44.2,17.2,43.5,45.8,6.5,502.8,535.6,108.96,15730,13848,1822,31397,66.81
1990,172,364,2131,1235.7,150.4,37.3,71.8,,0,813.3,1051.6,132.34,28640,12904,581,42122,53.85
1990,598,971,1624,782.3,146,22.3,102.1,25.3,0,431.6,434.2,103.84,9958,4009,3835,17797,45.42
1990,807,3173,3941,981.9,32.2,103.9,76.2,71.4,8.2,626.8,691.6,113.89,29649,19508,1681,,82.61
1990,0,0,0,516.5,127.9,18.8,39.6,11.8,0,310.4,339,110.33,14487,8183,4943,27607,91.09
1990,0,0,0,228.9,171.7,0,6.7,0,0,55,55.2,103.37,17,9,7,24,3.39
1990,228,728,3243,1019.1,43.2,159.7,66.7,79.4,7,588.8,683.1,119.07,13046,12392,1771,27203,49.35
1990,294,965,3293,1058,203.3,32.8,52.9,112.4,0,574,,117.08,27529,23207,3737,54469,99.05
1990,148,483,3264,691.1,10.8,36.7,88.3,31.5,5.9,519.3,612.6,120.65,58170,10694,7605,76463,149.81
1990,536,849,1594,4568.2,290,1711.2,76,74.1,27.5,556.8,604.5,109.58,9217,3993,418,13625,27.51
1990,874,1612,1844,,18.6,15.48,72.05,56.69,3.4,688.86,893,132.76,35258,14261,1456,50969,76.31
1990,161,242,1503,886,226.3,39.8,63,29.4,,477.8,567,120.04,15703,7298,245,23240,51.05
1990,852,2635,3104,1113.5,35.1,114.6,70.8,90.7,1.6,720.9,812.2,115.54,35475,27301,5449,68218,96.76
1990,249,783,3174,730.8,131.4,38.1,42.9,37.3,4.7,438.8,514.7,118.88,28565,12381,3131,44070,105.12
1990,68,432,6581,779.3,145.8,64,84.8,28.2,0,422.6,458,109.2,41290,20658,15527,77470,188.62
1990,2675,5750,2154,1047.9,52.4,131.7,56.2,50,7.2,591.4,629.4,108.11,11565,6838,391,18790,35.87
1990,2307,,4414,1414.31,22.39,27.62,76.07,0,0,1207.87,2012.18,169.53,130352,46803,373,177522,149.21
1990,0,0,0,487,22,17,73,8,0,339,551,166.43,24027,9058,84,,102.12
1990,425,1074,2532,317.02,11.26,14,17.7,3.36,0,254.7,486.22,194.26,44012,11318,144,55471,222.64
1990,9,20,2834,386,70,13,29,5,0,273,438,162.93,42422,11323,1069,54812,
1990,4,0,0,727.98,24.74,9,62.3,12.64,0,627.3,1106.78,180.84,148328,37384,2948,188657,305.7
1990,121,292,2434,599.89,17.52,11.65,45.69,4,0,499.64,712.87,143.45,35504,12995,263,48763,98.98
1990,3,0,0,117.38,13.45,,16.45,46.43,3.9,34.44,60.74,188.16,2047,334,139,2516,81.5
1990,0,,0,694.42,274.57,6.75,12.9,356.46,2.32,45.78,66.98,159.53,736,67,53,852,23.34
1990,7,5,2003,844,281.23,86.79,118.29,58.2,14.21,208.18,367.31,179.7,10753,1618,944,13310,66.55
1990,0,0,0,641.1,23.24,36.15,4.81,155.73,3.29,11.57,13.11,121.34,84,47,46,176,24.72
1990,0,0,0,54.1,0,4.63,4.85,2.68,3.32,37.88,64.65,167.45,1237,550,562,2340,65.42
1990,0,0,0,913.16,114.05,545.57,2.61,97.4,4.13,7.14,4.22,103.55,224,204,125,550,177.89
1990,5,3,5003,181.55,21.14,11.26,14.58,84.08,3.65,45.03,72.02,173.66,2344,384,183,2906,71.75
1990,0,0,0,398.96,172.49,12.93,15.87,105.17,4.25,96.42,165.3,175.14,3850,708,486,,
1990,0,0,0,514.1,110.24,20,15.41,194.44,3.36,,113.99,148.38,2431,1596,1410,5431,75.23
1990,4,0,0,227.75,52.58,11.7,13.42,64.86,3.96,44.22,80.29,183.14,1640,297,170,2106,51.66
1990,0,0,0,,776.89,143.96,123.65,31.22,175.09,318.43,358.7,115.06,0,0,0,0,0
1990,0,0,0,302.65,25.4,46.84,80.41,5.22,35.57,69.83,72.33,108.24,0,0,0,0,0
1990,4,5,5002,1273.7,556.97,86.63,53.66,,135.98,221.02,250.32,112.95,0,0,0,0,0
1990,0,0,0,1826.42,343.58,110.39,113.76,,225.87,588.04,655.58,114.16,0,0,0,0,0
1990,3,6,2003,781.47,72.32,64.18,,118.71,13.81,373.78,393.95,107.14,18424,10973,,34858,96.5
1990,45,2,2384,1066.76,,68.54,83.53,107.98,53.17,558.25,584.37,106.15,12729,10782,3256,26761,49.02
1990,366,739,2023,1248.28,340.46,68.92,87.75,92.89,47.96,481.59,563.67,119.66,26501,15104,14544,56143,120.82
1990,3,0,0,502.24,25.77,,64.6,42.29,25.96,243.78,280.77,116.95,33899,12969,8088,54950,230.21
1990,47,91,2023,,57.03,33.57,74.58,56.12,39.44,346.91,371.49,111.17,18995,12306,9580,40879,123.2
1990,4086,979,2404,1061.55,329.43,22.29,99.39,187.52,40.24,325.56,,121.13,21380,15541,10898,47814,151.31
1990,31,59,2041,724.08,201.49,,43.04,109.79,17.32,284.92,323.84,114.65,12944,9282,,30298,109.71
1990,3619,837,2313,1017.51,92.83,32.58,63.93,121.02,39.55,,713.79,124.94,26824,18260,,55507,95.44
1990,10239,2241,2193,957.22,120.25,60.72,80.72,10.08,7.33,621.41,721.48,118.18,39327,28885,19791,87999,146.29
1990,17139,2250,1314,1381.2,116.18,24.28,,21.63,11.37,975.08,1129.35,120.08,26027,23592,14450,64067,66.91
1990,8278,1983,2392,1348.38,191.42,45.34,69.23,27.02,10.71,900,996.16,113.72,42071,19481,9160,70704,81.82
1990,381,52,1303,543.77,28.09,22.54,,18.28,42.48,360.87,440.74,124.38,6837,,815,11868,36.25
1990,7417,1109,1494,1389.34,48.62,39.71,61.43,37.35,62.46,958.99,1122.62,121.12,51305,25810,14751,91859,99.09
1990,0,0,0,,228.34,76.15,87.65,34.75,24.13,222,302.84,137.46,8877,5167,9487,23526,110.42
1990,,24,2391,1026.68,830.61,24.07,19.38,,8.85,115.98,131.66,117.76,2810,1434,2252,6493,60.43
1990,0,0,0,138.06,0,2.27,27.55,4.01,4.61,106.68,177.77,167.43,6190,3634,5384,15204,144.86
1990,0,0,0,569.67,85.06,21.34,41.12,1.52,4.6,386.35,459.67,122.65,7043,5393,9124,21557,58.22
1990,,0,0,339.31,64.3,,38.45,1.24,5.11,220.77,,134.02,9998,6032,11536,27557,129.38
1990,0,0,0,,218.87,16.61,37.87,4.64,5.85,333.38,400.76,121.03,18199,,22878,51541,159.53
1990,0,0,0,375.15,95.48,,29.47,3.12,5.98,239.8,322.18,137.8,7253,4695,12707,24649,105.65
1990,0,0,0,366.23,106.42,7.05,21.98,1.18,7.95,211.04,276.77,131.82,5362,3028,5483,13868,67.01
1990,1074,295,2743,441.98,140.26,10.88,35.91,2.1,9.48,,341.06,159.23,13304,5570,9587,28454,134.09
1990,0,0,0,524.59,237.65,3.29,38.77,,4.98,247.31,351.51,146.06,13033,,7165,28982,121.11
1990,,0,0,301.39,,3.45,30.49,4.08,4.35,156.95,215.46,142.3,6373,,7420,17378,113.85
1990,0,0,0,221.6,52.86,4.26,24.79,0,3.56,145.48,211.06,147.31,7070,4250,3899,,108.31
1990,0,0,0,923.62,53.84,98.28,61.95,,49.65,459.7,553.1,122.93,10361,7279,456,18088,40.69
1990,0,0,0,661.61,234.92,6.7,,49.81,18.91,279.1,371.1,135.48,4951,2919,238,8104,32.23
1990,918,374,4074,988.64,247,48.68,56.72,57.7,33.7,498.7,579.9,119.41,7087,3348,588,11019,23.27
1990,0,0,0,452,71.62,4.03,25.69,33.12,10.66,292.1,346.3,120.93,7534,7114,394,15036,53.65
1990,0,0,0,828.84,77,60.18,71.88,40.72,64.37,435.9,555.7,131.38,1607,470,21,2091,5.81
1990,0,0,0,750.08,16.04,16.84,,108.06,15.14,520.5,582.8,115.21,7921,7146,353,15416,33.72
1990,0,0,0,527.52,63.78,55.94,33.13,44.3,,290.1,324,113.55,2416,1985,53,4448,16.54
1990,0,,0,466.5,29.04,50.74,42.93,52.78,18.43,245,340.3,142.06,10896,6215,397,17504,74.73
1990,0,0,0,,0,104.59,47.65,93.61,49.05,358.9,,121.26,,4219,427,11343,35.87
1990,0,0,0,512.16,84.72,44.8,42.27,18.35,18.18,229.2,260.6,116.26,2037,1921,153,4108,
1990,0,0,0,564.76,0,45.52,54.47,43.16,29.83,368.7,470.4,130.01,13204,7663,121,20978,60.2
1990,2,0,0,888.25,293.91,58.33,58.22,0,28.84,363.7,479,133.79,1937,1506,36,3471,13.56
1990,0,0,0,609.73,0,87.6,60.72,22.19,21.31,366.9,442.7,123.38,10766,8009,142,,52.97
1990,0,0,0,839.37,6.14,39.98,92.42,45.82,68.83,471,550.1,119.44,1528,1469,28,3024,
1990,0,0,0,522.89,110.21,,37.53,23.1,8.32,267.7,293.8,113.82,10880,7128,422,18427,71.35
1990,0,0,0,801.22,81.65,51.31,62.65,56.8,25.85,399.9,469.9,121.38,3916,3272,211,7393,20.62
1990,0,,0,949.11,0,104.02,61.14,61.6,13.63,625.5,684.2,111.41,4557,2917,53,7524,
1990,0,0,0,206.48,26.19,6.09,22.12,7.5,6.12,,148.6,110.15,3971,1785,114,5867,44.96
1990,0,0,0,838.91,0,210.13,67.8,71.7,13.85,418.4,475.5,115.96,27488,7474,,35945,89.11
1990,6,0,0,437.66,0,27.51,34.64,27.7,9.05,340.3,361.9,110.02,11249,4046,348,15640,49.49
1990,26,3,911,357.88,,5.95,30.53,30.7,4.26,262.9,397.1,154.82,19552,15407,999,35951,138.79
1990,2976,325,1094,455.65,1.02,45.43,32.22,34.2,3.53,317.9,449.2,143.8,15366,9893,1086,26337,87.1
1990,218,23,883,605.25,0,6.67,40.69,76.5,7.37,467.7,679.8,147.43,17490,13488,1005,31977,70.81
1990,229,6,883,948.37,109.52,95.51,110.36,55.3,4.85,539.7,797.8,149.74,27554,,1609,,93.65
1990,5590,685,1224,674.31,180.29,15.03,33.16,85.6,,363.4,478.3,136.07,13212,7657,454,21321,62.99
1990,,1199,1412,687.85,5.01,52.92,45.88,,,505.1,647.6,,22319,14485,3966,40760,83.34
1990,2494,261,1042,604.76,40.61,87.42,51.38,45.2,8.24,359.4,416.5,118.93,5972,1716,203,7889,25
1990,789,55,671,843.05,124.5,12.44,61.37,93.6,6.78,,670.7,129.72,13455,13442,651,27541,55.27
1990,0,0,0,634.23,120.33,7.58,38.15,33.1,5.07,420.3,496.8,120.53,9134,7501,158,16788,42.03
1990,0,0,0,734.2,108.51,15.12,36.52,39.9,6.73,523.7,570.7,112.22,6543,7808,120,14464,28.78
1990,13,11,701,689.57,75.51,28.43,47.11,28.2,32.26,417.5,503.2,121.68,7141,4012,805,11949,29.83
1990,,29,1012,603.25,6.19,33.81,39.55,90.2,5.64,413.3,511.2,126.65,7806,5235,124,13158,33.14
1990,254,27,1003,619.8,5.87,52.11,45.85,68.8,5.79,435.1,581.6,137.45,11907,10689,306,22893,57.1
1990,3911,361,921,748.84,107.82,37.18,32.1,55.8,19.14,456,614.4,137.81,,18178,1280,42398,97.18
1990,0,,0,936.7,328.3,54.5,74.5,53.5,23.7,355.7,365.2,105.69,8426,1837,2198,12455,39.3
1990,0,0,0,1323.4,46.6,297.5,27.9,34.6,252.6,357.3,369.3,107.95,9052,2698,1973,13720,40.72
1990,,54,3121,,318.9,149.5,31.1,40.3,54.9,872.7,980.6,114.64,40886,17690,11020,69589,84.01
1990,663,918,1381,1442,,100.8,23.5,6.7,5.5,,803.9,113.11,28782,12888,7819,49486,72.26
1990,1895,3247,1711,1164.9,,59.2,20.1,46.8,13.5,856.4,1072.7,127.94,69928,33068,27687,130678,155.77
1990,21,49,2533,1703,173,132.2,18.6,36.4,71.5,1188.7,1399.3,121.73,55023,27575,15005,97599,86.17
1990,6,10,3503,1563,176.6,111.4,58.7,66.7,45.3,1030.2,1322.4,132.54,43114,18907,11913,73933,75.97
1990,13,29,3002,1062.2,141.8,98,25.3,85.6,42.9,597.4,722.3,,32364,14682,9482,56522,95.93
1990,,57,2953,864,48.3,,35,23.1,40.2,598.6,655.4,114.06,37814,18928,17957,74694,129.62
1990,25,46,1793,1488.8,29,74.1,8.7,34.2,69.9,1149,1208.4,108.45,35591,16865,10493,,57.97
1990,2,,2004,777.3,150.4,39.2,30.3,37.7,,429.8,466.2,112.55,56407,23814,22898,103116,243.17
1990,2662,2224,843,1100.2,40.7,19.3,41.6,38.7,14.7,,1243.6,140.55,21850,11522,4087,37457,44.1
1990,238,296,1252,1118.9,25.6,15.6,51.5,43,35.5,883.8,1047.8,121.64,16551,9823,3130,29496,37.52
1990,2351,2108,904,1037.1,92.5,23.6,36.6,45.4,38.2,732.5,806.1,114.24,47943,20327,14244,82506,115.25
1990,0,0,0,1417.9,5.6,21.1,,,59.2,1166,,128.58,26122,,6532,50214,46.17
1990,2669,,1082,968.1,75.4,46.2,37.2,30.1,27.2,,858.2,122.83,27030,14107,3729,,64.3
1990,3618,4306,1194,1058,,17.6,29.9,34.6,24.9,869.5,1023.6,121.8,,11486,3943,42402,49.99
1990,3734,4319,1164,1222.7,335.3,25.5,35.4,44.5,10.1,757.9,910.9,123.37,,15630,6319,48151,67.7
1990,4243,3625,854,,229.1,54.9,55.4,62.7,35.8,854.2,925.2,112.7,21120,9409,5191,35714,46.01
1990,1556,3111,2003,632.9,76.4,22,35.1,47.4,24.7,391.5,414.7,107.69,19424,7803,4837,32061,83.09
1990,682,913,1344,990.4,162.3,45.4,,47.3,35.9,545.4,620.1,114.96,18372,13533,3597,35496,69.44
1990,0,0,0,930.9,268,38.5,74.4,98.4,32.8,376,493.5,134.12,16737,7841,2611,27185,77.07
1990,681,791,1163,2584.4,,36,126.2,96.6,47.6,691.1,801.6,,14357,4650,1803,20807,34.23
1990,0,0,0,651,30,,51,27,5,461,718.1,159.58,15710,5828,3658,,55.87
1990,83,16,1832,887,146,39,40,62,23,471,665.8,145.11,5689,2037,1128,8848,21.86
1990,0,0,0,1090,,14,104,41,14,676,1196.1,178.02,16246,3836,3596,,38.12
1990,10,2,1433,1093,494,13,51,46,10,457,664.1,149.4,5272,1551,1032,7846,20.28
1990,70,,2093,1221,605,8,62,39,9,484,944.5,198.94,24082,4570,,30623,64.79
1990,314,68,2153,1161,509,4,33,26,9,566,832.5,149.07,3351,1586,,5908,14.47
1990,0,,0,832,253,30,36,39,0,311,414.6,137.4,2093,1183,367,3639,12.84
1990,175,43,2441,2705,888,209,163,162,69,764,,156.96,8443,2035,1459,11935,
1990,0,0,0,1042,489,20,44,30,0,435,559.9,132.38,4245,1890,982,7114,19.42
1990,0,,0,1049,331,44,68,70,17,452,718.9,161.96,11812,1802,2264,15870,36.19
1990,,0,0,1752,,56,71,98,,,953.3,146.98,26176,13068,6148,45384,69.76
1990,4,0,0,981,402,14,32,75,19,332,428.7,131.31,1886,,1039,4206,16.7
1990,0,0,0,358,19,,25,0,0,301,468,160.19,66497,20151,893,87538,296.76
1990,19,35,2002,510,18,7,47,0,0,440,780,179.03,95627,32688,1597,129904,301.26
1990,0,0,0,165,4,5,4,5,7,143,251,178.3,32680,13333,661,46664,331.94
1990,13,16,1564,343,,16,20,0,0,296,523,181.47,62857,21573,3375,87802,
1990,9,,2863,392,96,15,30,5,0,250,400,163.32,30968,9705,1212,41884,173.55
1990,56,97,1713,387,14,0,45,,5,329,602,186.92,101172,39590,2889,143646,442.98
1990,1851,8647,4673,1013.76,15.14,0,69.38,8,11.14,891.58,1602.4,181.88,172974,70559,1247,244778,279.47
1990,2732,13107,4802,707.24,15.86,4,40.62,0,14.86,628.42,1076.6,173.82,105870,37613,653,144130,233.45
1990,650,203,3074,,5,6,37,0,,460,889,195.46,89303,37755,566,127614,282.02
1990,33,110,3483,460,14,12,47,0,4,394,727,189.15,95394,35042,803,131238,339.5
1990,996,150,1481,,47.83,99.54,46.02,83.03,52.92,412.32,488.46,122.36,3024,2508,113,5640,
1990,36,15,3532,770.53,36.7,116.49,42.11,26.94,14.42,507.53,758.16,150.18,9620,5202,540,15357,31.37
1990,126,226,1813,508.67,106.64,82.58,9.76,29.83,29.38,229,328.64,147.45,9316,3184,,12522,56.15
1990,8,6,3332,2821.33,28.7,131.47,76.92,210.44,332.06,1576.72,1608.5,103.15,373,68,0,,3.28
1990,8,3,5001,808.97,44.08,99.89,49.78,30.86,24.95,538.29,685.18,128.87,14719,7749,234,22695,46.47
1990,2058,448,2164,1044.43,61.61,169.04,60.58,122.75,54.04,374.11,527.03,143.72,7476,7121,122,14713,41.42
1990,927,35,3683,2744.68,66.96,45.39,100.92,185.24,179.93,887.67,930.7,107.63,26916,8583,279,35773,42.34
1990,5,0,0,583.04,140.82,60.12,35.44,24.22,26.48,252.33,329.23,133.17,8602,3413,857,12866,
1990,230,38,1624,,154.11,148.81,42.95,80.65,25.51,386.22,584.48,152.87,18658,14474,836,33963,90.85
1990,0,0,0,,8.64,2.74,76.95,47.45,85.26,1369.4,1411.49,105.23,203,118,21,334,4.24
1990,16,6,3571,386.59,62.48,80.87,16.04,43.71,26.79,131.78,179,141.52,1130,777,8,1911,18.92
1990,,1382,3674,2066.9,68.73,8.55,129.55,14.4,99.73,1506.25,1859.97,127.55,50160,14213,629,65000,45.27
1990,22,6,2221,1401.07,77.22,97.12,84.44,107.98,73.72,843.36,,133.24,13319,5446,399,19159,25.74
1990,0,0,0,3842.14,23.23,,84.24,109.52,92.97,235.05,233.74,102.3,,0,0,0,0
1990,119,6,3481,1057.4,21.71,92.59,39.17,48.14,89.65,662.09,776.88,119.24,3107,1363,42,,9.82
1990,309,14,361,634.24,118.88,41.75,28.43,55.76,19.6,308.8,429.8,143.68,4727,3327,51,8101,30.57
1990,0,0,0,,41.08,20.01,,,21.26,,606.21,140.34,3186,579,31,3794,9.64
1990,24,86,3651,2258.41,8.63,147.09,83.47,123.44,344.93,1235.72,1264.79,105.44,,2215,1243,6993,6.67
1990,0,0,0,1222.86,327.24,89.94,54.92,53.44,38.38,582.51,736.24,129.09,14499,8178,886,23558,44.51
1990,369,182,4862,1768.3,14.7,67.54,83.37,76.25,64.28,,1311.5,104.72,3194,2840,185,6211,6.91
1990,754,165,2151,1234.08,81.46,153.71,57.35,91.64,102.22,641.64,727.53,115.45,7165,7725,131,15017,27.51
1990,,0,0,1053.41,242.97,112.92,57.38,58.89,24.47,517.32,658.95,128.79,15977,8465,74,24511,48.75
1990,8,2,2502,775.95,57.8,22.42,33.28,46.39,43.56,524.19,629.04,123.47,2864,963,43,3861,10.38
1990,24,,4051,518.95,155.47,81.2,26.06,35.44,31.79,172.22,215.76,129.91,2825,1261,49,4132,26.41
1990,28,13,3333,722.14,28.13,36.46,36.78,63.39,20.3,476.57,,114.46,2640,2162,77,4873,11.31
1990,38,6,81,1921.86,403.55,480.67,181.41,,65.76,367.98,539.16,147.83,,1261,9,,14.87
1990,1579,266,1681,1826.39,536.28,,121.25,27.88,47.62,834.01,1032.09,127.57,25149,12010,21268,58422,72.21
1990,155,515,3332,1213.47,186.58,23.64,205.57,11.11,55.62,459.02,516.46,116.54,42842,14454,28636,85927,189.6
1990,396,141,3491,1088.82,,37.66,179.89,6.79,66.12,605.93,871.22,146.36,73055,30669,37408,141126,237.29
1990,3377,878,2601,1306.35,303.57,72.31,138.95,10.51,91.92,,638.35,117.04,42709,7719,,80445,147.34
1990,569,127,2201,1261.08,61.4,15.46,260.92,6.02,214.55,543.9,555.29,105.29,23347,7492,10370,41206,80.18
1990,202,761,3783,1142.68,139.51,47.11,167.4,,174.07,397.97,465.62,119.54,28404,11803,14811,55012,142.57
1990,0,0,0,257.38,146.36,3.71,12.72,8.72,11.15,76.83,75.69,102.18,,1185,3937,10320,145.67
1990,0,0,0,169.18,55.16,4.34,25.01,4.1,2.37,85.63,108.26,,6597,,4801,14460,176.98
1990,0,0,0,26,0,2.83,22.7,2.02,1.78,0,0,0,28898,14145,3304,46347,156.24
1990,1155,213,18406,808.22,171.34,63.52,77.78,41.03,41.41,282.25,,135.16,59298,25037,4634,88965,320.44
1990,448,85,18387,,99.09,59.83,64.66,46.39,57.96,422.78,476.76,116.61,20994,8161,1042,30194,75.09
1990,2313,513,22113,1850.24,304.2,33.69,77.03,29.95,95.58,886.38,954.41,110.81,32258,20367,4992,57609,
1990,1533,284,18381,1426.32,89.83,93.36,92.71,97.28,134.16,571.49,701.8,126.96,34663,18761,3588,57006,103.45
1990,5320,1283,24097,1284.55,372.31,60.5,54.97,52.51,38.46,443.4,569.97,129.16,66284,27300,3503,97083,223.44
1990,3215,782,2428,1584.94,760.4,81.04,118.99,47.96,22.38,474.14,499.79,108.22,39096,15973,3341,58404,125.69
1990,2618,127,48151,1192.5,252.68,87.3,72.65,59.67,79.17,439.7,576.77,134.09,62967,24494,4871,92327,213.93
1990,,1550,9828,1624.38,700.83,40.13,64.69,50.04,33.23,564.43,574.17,105.73,17198,6357,297,23848,43.4
1990,160,20,1214,587.22,112.72,9.84,56.62,1.46,7.15,397.04,613.59,159.46,62147,12984,2079,77202,199.92
1990,190,37,1882,421.64,17.2,9.35,55.43,4.58,6.29,327.01,,159.64,58025,,1589,,
1990,133,13,913,595.09,12.99,16.32,79.78,1.79,17.21,456.65,728.72,164.41,69748,15806,,87177,194.16
1990,163,19,931,496.6,9.75,17.2,48.86,2.6,11.84,385.72,,175.02,46187,13334,1239,60755,161.92
1990,536,17,2631,505.4,2.41,27.73,43.71,3.69,12.9,398.42,646.44,167.64,39553,11001,790,51342,133.16
1990,266,40,1454,377.52,3.33,8.43,35.51,5.71,10.49,,430.92,141.33,24655,7852,392,32891,107.57
1990,30,9,2222,481.4,39.41,18.4,41.89,3.38,17.48,348.36,462.41,137.02,24501,11318,1118,36930,109.92
1990,0,0,0,433.18,10.19,30.16,32.84,5.05,36.7,294.99,456.06,158.7,27582,10683,1067,39326,138.14
1990,23,9,2274,447.28,3.48,10.81,40.37,,24.44,309.06,504.85,164.23,29686,6849,896,37426,125.49
1990,0,0,0,408.53,3.3,16.66,45.14,4.41,9.07,331.22,498.64,153.16,50367,14014,4003,68378,209.95
1990,5,0,0,523.2,8.9,14.85,,2.03,18.96,400.91,,153.13,45011,9983,2230,,145.07
1990,2,0,0,599.42,12.92,16.42,50.57,4.73,10.4,502.18,740.26,149.69,69335,14549,2944,86824,175.93
1990,2,0,0,460.5,12.21,10.09,40.07,5.27,18.81,354.4,529.68,151.17,45539,9938,2632,58103,167.34
1990,0,0,0,352.9,,6.68,34.9,1.22,5.36,219.8,364.16,169.06,41234,9725,4187,55141,253.01
1990,0,0,0,238.39,10.61,7.89,26.66,2.02,5.66,193.96,322.13,171.29,30631,7575,2087,,
1990,4,0,0,487.8,49.68,10.01,54.47,4.63,6.08,342.55,442.03,132.54,43463,8633,2722,54812,163.47
1990,0,0,0,429.92,7.47,24.57,43.22,4.14,26.2,287.84,418.14,147.1,42283,10818,3324,56417,200.06
1990,0,0,0,440.73,43.37,27.03,35.43,4.23,18.46,,428.34,150.83,30533,7170,637,,135.32
1990,0,0,0,423.26,9.7,16.71,45.49,5.66,18.23,298.75,401.87,136.96,27776,5179,1248,34198,116.84
1990,0,0,0,732.24,22.14,34.06,83.25,4.22,37.99,478.55,678.3,145.21,53871,11527,2438,67831,143.63
1990,0,0,0,1007.99,,53.65,70.02,9.31,56.11,532.3,638.08,122.95,11189,8103,138,19423,
1990,0,0,0,459.21,28.7,17.98,36.98,2.13,12.69,353.76,376.2,110.97,9051,4430,169,13646,40.9
1990,0,0,0,782.73,79.78,39,48.24,4.44,27.63,,613.08,118.44,9520,4456,153,14125,30.1
1990,5,0,0,513.29,79.4,14.5,60.49,,15.83,322.61,502.59,160.12,45575,12144,,63600,202.61
1990,0,0,0,1202.76,510.65,52.64,85.55,2.26,67.21,388.9,549.51,142.25,,5595,1891,21597,59.81
1990,0,,0,403.27,2.1,10.62,46.63,2.55,22.1,291.88,457.39,161.19,37688,10823,3405,51914,182.32
