State Name,SOIL TYPE PERCENT (Percent),Year_Rainfall,ANNUAL NORMAL RAINFALL (Millimeters)
Telangana,VERTIC SOILS - 85% ; VERTISOLS - 15%,Average 30 years,909
Telangana,SANDY ALFISOL - 75% ; VERTIC SOILS - 25%,Average 30 years,835
Telangana,VERTISOLS - 40% ; VERTIC SOILS - 20% ; SANDY ALFISOL - 40%,Average 30 years,792
Telangana,SANDY ALFISOL - 100%,Average 30 years,763
Telangana,SANDY ALFISOL - 40% ; VERTIC SOILS - 35% ; ORTHIDS - 25%,Average 30 years,925
Telangana,VERTISOLS - 60% ; SANDY ALFISOLS - 40%,Average 30 years,1148
Telangana,VERTIC SOLS - 70% ; VERTISOLS - 30%,Average 30 years,880
Telangana,VERTIC SOILS - 50% ; SANDY ALFISOL - 50%,Average 30 years,992
Karnataka,SANDY ALFISOL - 100%,Average 30 years,924
Karnataka,SANDY ALFISOL - 100%,Average 30 years,734
Karnataka,SANDY ALFISOL - 100%,Average 30 years,563
Karnataka,SANDY ALFISOL - 100%,Average 30 years,920
Karnataka,SANDY ALFISOL - 100%,Average 30 years,674
Karnataka,SANDY ALFISOL - 100%,Average 30 years,892
Karnataka,SANDY ALFISOL - 100%,Average 30 years,1045
Karnataka,SANDY ALFISOL - 85% ; UDUPTS/UDALFS - 15%,Average 30 years,2334
Karnataka,SANDY ALFISOL - 85% ; VERTISOLS - 15%,Average 30 years,654
Karnataka,SANDY ALFISOL - 70% ; VERTIC SOILS - 30%,Average 30 years,519
Karnataka,VERTIC SOILS - 70% ; VERTISOLS - 30%,Average 30 years,813
Karnataka,VRTIC SOILS - 70% ; VERTISOLS - 30%,Average 30 years,1551
Karnataka,VERTISOLS - 50% ; VERTIC SOILS - 50%,Average 30 years,573
Karnataka,VERTIC SOILS - 100%,Average 30 years,977
Karnataka,VERTISOLS - 60% ; VERTIC SOILS - 40%,Average 30 years,719
Karnataka,VERTIC SOILS - 55% ; VERTISOLS - 45%,Average 30 years,753
Karnataka,UDUPTS/UDALFS - 70% ; ORTHIDS - 30%,Average 30 years,3469
Karnataka,VERTIC SOILS - 50% ; UDUPTS/UDALFS - 30% ; ORTHIDS - 20%,Average 30 years,773
Karnataka,SANDY ALFISOL - 85% ; UDUPTS/UDALFS - 15%,Average 30 years,3346
Tamil Nadu,ORTHIDS - 100%,Average 30 years,1134
Tamil Nadu,ORTHIDS - 85% ; SANDY ALFISOL - 15%,Average 30 years,923
Tamil Nadu,SANDY ALFISOL - 85% ; ORTHIDS - 15%,Average 30 years,969
Tamil Nadu,SANDY ALFISOL - 100%,Average 30 years,965
Tamil Nadu,SANDY ALFISOL - 100%,Average 30 years,612
Tamil Nadu,ORTHIDS - 25% ; SANDY ALFISOL - 75%,Average 30 years,869
Tamil Nadu,ORTHIDS - 100%,Average 30 years,1337
Tamil Nadu,SANDY ALFISOL - 100%,Average 30 years,905
Tamil Nadu,ORTHIDS - 100%,Average 30 years,874
Tamil Nadu,SANDY ALFISOL - 100%,Average 30 years,686
Tamil Nadu,SANDY ALFISOL - 100%,Average 30 years,1303
Tamil Nadu,ORTHIDS - 100%,Average 30 years,1400
Maharashtra,UDUPTS/UDALFS - 35% ; VERTISOLS - 35% ; VERTIC SOILS - 30%,Average 30 years,2099
Maharashtra,VERTIC SOILS - 55% ; ORTHIDS - 45%,Average 30 years,2617
Maharashtra,VERTIC SOILS - 45% ; ORTHIDS - 35% ; UDUPTS/UDALFS - 20%,Average 30 years,2655
Maharashtra,UDUPTS/UDALFS - 50% ; ORTHIDS - 50%,Average 30 years,3025
Maharashtra,VERTIC SOILS - 85% ; VERTISOLS - 15%,Average 30 years,591
Maharashtra,VERTIC SOILS - 65% ; VERTISOLS - 35%,Average 30 years,738
Maharashtra,VERTIC SOILS - 65% ; VERTISOLS - 35%,Average 30 years,841
Maharashtra,VERTIC SOILS - 60% ; VERTISOLS - 40%,Average 30 years,676
Maharashtra,VERTIC SOILS - 65% ; VERTISOLS - 35%,Average 30 years,715
Maharashtra,UDUPTS/UDALFS - 60% ; VERTISOLS - 40%,Average 30 years,1119
Maharashtra,VERTIC SOILS - 75% ; VERTISOLS - 25%,Average 30 years,571
Maharashtra,VERTIC SOILS - 60% ; ORTHIDS - 40%,Average 30 years,743
Maharashtra,VERTISOLS - 50% ; VERTIC SOILS - 50%,Average 30 years,1137
Maharashtra,VERTIC SOILS - 80% ; VERTISOLS - 20%,Average 30 years,786
Maharashtra,VERTIC SOILS - 75% ; VERTISOLS - 25%,Average 30 years,905
Maharashtra,VERTIC SOILS - 100%,Average 30 years,685
Maharashtra,VERTIC SOILS - 60% ; VERTISOLS - 40%,Average 30 years,915
Maharashtra,VERTIC SOILS - 100%,Average 30 years,809
Maharashtra,VERTIC SOILS - 75% ; VERTISOLS - 25%,Average 30 years,901
Maharashtra,VERTIC SOILS - 60% ; VERTISOLS -40%,Average 30 years,878
Maharashtra,VERTIC SOILS - 85% ; VERTISOLS - 15%,Average 30 years,976
Maharashtra,VERTIC SOILS - 100%,Average 30 years,1133
Maharashtra,VERTIC SOILS - 100%,Average 30 years,1144
Maharashtra,VERTIC SOILS - 100%,Average 30 years,1242
Maharashtra,VERTIC SOILS - 100%,Average 30 years,1349
Maharashtra,VERTIC SOILS - 100%,Average 30 years,1474
Gujarat,USTALF/USTOLLS - 100%,Average 30 years,823
Gujarat,ORTHIDS - 100%,Average 30 years,607
Gujarat,USTALF/USTOLLS - 100%,Average 30 years,652
Gujarat,VERTISOLS - 60% ; ORTHIDS - 25% ; VERTIC SOLS - 15%,Average 30 years,1002
Gujarat,VERTIC SOILS - 55% ; VERTISOLS - 45%,Average 30 years,987
Gujarat,ORTHIDS - 75% ; VERTIC SOILS - 25%,Average 30 years,602
Gujarat,VERTIC SOILS - 60% ; ORTHIDS - 40%,Average 30 years,1625
Gujarat,VERTIC SOILS - 100%,Average 30 years,1212
Gujarat,ORTHIDS - 50% ; VERTIC SOILS - 50%,Average 30 years,491
Gujarat,ORTHIDS - 50% ; VERTIC SOILS - 50%,Average 30 years,702
Gujarat,USTALF/USTOLLS - 60% ; VERTIC SOILS - 40%,Average 30 years,929
Gujarat,ORTHIDS - 85% ; VERTI SOLS - 15%,Average 30 years,349
Gujarat,USTALF/USTOLLS - 100%,Average 30 years,507
Gujarat,VERTIC SOILS - 100%,Average 30 years,833
Gujarat,VERTIC SOILS - 80% ; VERTISOLS - 20%,Average 30 years,674
Gujarat,VERTIC SOILS - 50% ; USTALF/USTOLLS - 50%,Average 30 years,885
Gujarat,VERTISOLS - 60% ; ORTHIDS - 20% ; VERTIC SOILS - 20%,Average 30 years,1207
Gujarat,USTALF/USTOLLS - 60% ; VERTIC SOILS - 40%,Average 30 years,601
Rajasthan,INCEPTISOLS - 60% ; PSSAMENTS - 40%,Average 30 years,559
Rajasthan,INCEPTISOLS - 100%,Average 30 years,725
Rajasthan,VERTIC SOILS - 100%,Average 30 years,938
Rajasthan,PSSAMENTS - 100%,Average 30 years,311
Rajasthan,INCEPTISOLS - 85% ; VERTIC OSILS - 15%,Average 30 years,722
Rajasthan,VERTIC SOILS - 100%,Average 30 years,658
Rajasthan,PSSAMENTS - 100%,Average 30 years,307
Rajasthan,VERTIC SOILS - 100%,Average 30 years,768
Rajasthan,VERTIC SOILS - 100%,Average 30 years,885
Rajasthan,PSSAMENTS - 100%,Average 30 years,346
Rajasthan,VERTIC SOILS - 100%,Average 30 years,715
Rajasthan,PSSAMENTS - 100%,Average 30 years,300
Rajasthan,INCEPTISOLS - 100%,Average 30 years,647
Rajasthan,PSSAMENTS - 100%,Average 30 years,218
Rajasthan,PSSAMENTS - 100%,Average 30 years,892
Rajasthan,VERTIC SOILS - 100%,Average 30 years,1024
Rajasthan,INCEPTISOLS - 50% ; PSSAMNETS - 50%,Average 30 years,423
Rajasthan,PSSAMENTS - 100%,Average 30 years,380
Rajasthan,VERTIC SOILS - 100%,Average 30 years,842
Rajasthan,PSSAMNETS - 85% ; INCEPTISOLS - 15%,Average 30 years,409
Rajasthan,PSSAMENTS - 100%,Average 30 years,401
Rajasthan,VERTIC SOILS - 85% ; INCEPTISOLS - 15%,Average 30 years,753
Rajasthan,INCEPTISOLS - 50% ; PSSAMNETS - 50%,Average 30 years,441
Rajasthan,PSSAMNETS - 100%,Average 30 years,1233
Rajasthan,INCEPTISOLS - 100%,Average 30 years,703
Rajasthan,PSSAMENTS - 30% ; VERTIC SOILS - 70%,Average 30 years,661
Punjab,INCEPTISOLS - 100%,Average 30 years,1486
Punjab,INCEPTISOLS - 100%,Average 30 years,650
Punjab,INCEPTISOLS - 100%,Average 30 years,708
Punjab,INCEPTISOLS - 100%,Average 30 years,1041
Punjab,INCEPTISOLS - 100%,Average 30 years,1315
Punjab,INCEPTISOLS - 100%,Average 30 years,890
Punjab,INCEPTISOLS - 100%,Average 30 years,706
Punjab,INCEPTISOLS - 20% ; PSSAMENTS - 80%,Average 30 years,537
Punjab,PSSAMENTS - 100%,Average 30 years,928
Punjab,INCEPTISOLS - 100%,Average 30 years,779
Punjab,INCEPTISOLS - 100%,Average 30 years,870
Haryana,PSSAMENTS - 100%,Average 30 years,447
Haryana,INCEPTISOLS - 100%,Average 30 years,474
Haryana,INCEPTISOLS - 50% ; PSSAMENTS - 505,Average 30 years,606
Haryana,INCEPTISOLS - 100%,Average 30 years,454
Haryana,INCEPTISOLS - 100%,Average 30 years,959
Haryana,INCEPTISOLS - 100%,Average 30 years,761
Haryana,INCEPTISOLS - 100%,Average 30 years,511
Uttar Pradesh,INCEPTISOLS - 100%,Average 30 years,1164
Uttar Pradesh,INCEPTISOLS - 100%,Average 30 years,839
Uttar Pradesh,UDOLLS/UDALFS - 100%,Average 30 years,838
Uttar Pradesh,INCEPTISOLS - 100%,Average 30 years,745
Uttar Pradesh,INCEPTISOLS - 100%,Average 30 years,774
Uttar Pradesh,INCEPTISOLS - 100%,Average 30 years,696
Uttar Pradesh,INCEPTISOLS - 100%,Average 30 years,766
Uttar Pradesh,INCEPTISOLS - 100%,Average 30 years,762
Uttar Pradesh,INCEPTISOLS - 100%,Average 30 years,741
Uttar Pradesh,INCEPTISOLS - 100%,Average 30 years,1071
Uttar Pradesh,INCEPTISOLS - 100%,Average 30 years,891
Uttar Pradesh,INCEPTISOLS - 100%,Average 30 years,953
Uttar Pradesh,INCEPTISOLS - 100%,Average 30 years,1093
Uttar Pradesh,INCEPTISOLS - 100%,Average 30 years,1173
Uttar Pradesh,INCEPTISOLS - 100%,Average 30 years,1093
Uttar Pradesh,INCEPTISOLS - 100%,Average 30 years,959
Uttar Pradesh,INCEPTISOLS - 100%,Average 30 years,871
Uttar Pradesh,INCEPTISOLS - 100%,Average 30 years,553
Uttar Pradesh,INCEPTISOLS - 100%,Average 30 years,892
Uttar Pradesh,INCEPTISOLS - 100%,Average 30 years,885
Uttar Pradesh,INCEPTISOLS - 100%,Average 30 years,1027
Uttar Pradesh,INCEPTISOLS - 100%,Average 30 years,999
Uttar Pradesh,INCEPTISOLS - 100%,Average 30 years,1045
Uttar Pradesh,INCEPTISOLS - 100%,Average 30 years,998
Uttar Pradesh,INCEPTISOLS - 100%,Average 30 years,1005
Uttar Pradesh,INCEPTISOLS - 80% ; UDUPTS/UDALFS - 20%,Average 30 years,1114
Uttar Pradesh,INNCEPTISOLS - 60% ; UDUPTS/UDALFS - 40%,Average 30 years,1112
Uttar Pradesh,INCEPTISOLS -100%,Average 30 years,1079
Uttar Pradesh,INCEPTISOLS - 100%,Average 30 years,1008
Uttar Pradesh,INCEPTISOLS - 100%,Average 30 years,1085
Uttar Pradesh,INCEPTISOLS - 100%,Average 30 years,1274
Uttar Pradesh,INCEPTISOLS - 100%,Average 30 years,1237
Uttar Pradesh,INCEPTISOLS - 100%,Average 30 years,1234
Uttar Pradesh,INCEPTISOLS - 100%,Average 30 years,1048
Uttar Pradesh,INCEPTISOLS - 100%,Average 30 years,992
Uttar Pradesh,INCEPTISOLS - 100%,Average 30 years,946
Uttar Pradesh,INCEPTISOLS - 100%,Average 30 years,987
Uttar Pradesh,INCEPTISOLS - 100%,Average 30 years,1099
Uttar Pradesh,INCEPTISOLS - 100%,Average 30 years,1062
Uttar Pradesh,INCEPTISOLS - 100%,Average 30 years,1132
Uttar Pradesh,INCEPTISOLS - 100%,Average 30 years,1169
Uttar Pradesh,INCEPTISOLS - 100%,Average 30 years,1294
Uttar Pradesh,INCEPTISOLS - 100%,Average 30 years,1177
Uttar Pradesh,INCEPTISOLS - 100%,Average 30 years,1111
Uttar Pradesh,INCEPTISOLS - 100%,Average 30 years,1035
Uttar Pradesh,INCEPTISOLS - 100%,Average 30 years,1089
Uttarakhand,INCEPTISOLS - 85% ; UDOLLS/UDALFS - 15%,Average 30 years,1360
Uttarakhand,UDOLLS/UDALFS - 85% ; INCEPTISOLS - 15%,Average 30 years,1305
Uttarakhand,INCEPTISOLS - 1005,Average 30 years,1321
Uttarakhand,UDOLLS/UDALFS - 100%,Average 30 years,1338
Uttarakhand,UDOLLS/UDALFS - 100%,Average 30 years,1811
Uttarakhand,UDOLLS/UDALFS - 100%,Average 30 years,1681
Uttarakhand,INCEPTISOLS - 55% ; UDOLLS/UDALFS - 45%,Average 30 years,1430
Uttarakhand,UDOLLS/UDALFS - 60% ; INCEPTISOLS - 40%,Average 30 years,2296
Assam,FLUVENTS-OCHREPTS,Average 30 years,2976
Assam,USTALFS-OCHREPTS,Average 30 years,2193
Assam,FLUVENTS-OCHREPTS,Average 30 years,2843
Assam,USTALFS-OCHREPTS,Average 30 years,2959
Assam,USTALFS-OCHREPTS,Average 30 years,2130
Assam,USTALFS-OCHREPTS,Average 30 years,2962
Assam,FLUVENTS-OCHREPTS,Average 30 years,2788
Assam,USTALFS-OCHREPTS,Average 30 years,3022
Assam,USTALFS-OCHREPTS,Average 30 years,1722
Assam,FLUVENTS-OCHREPTS,Average 30 years,2196
Himachal Pradesh,UDALFS,Average 30 years,1258
Himachal Pradesh,UDALFS,Average 30 years,1527
Himachal Pradesh,UDALFS-OCHREPTS,Average 30 years,1908
Himachal Pradesh,,Average 30 years,734
Himachal Pradesh,UDALFS,Average 30 years,985
Himachal Pradesh,,Average 30 years,1308
Himachal Pradesh,UDALFS,Average 30 years,1445
Himachal Pradesh,UDALFS-OCHREPTS,Average 30 years,1551
Himachal Pradesh,UDALFS-OCHREPTS,Average 30 years,1105
Himachal Pradesh,UDALFS,Average 30 years,1689
Kerala,PSAMMENTS-OCHREPTS,Average 30 years,2964
Kerala,FLUVENTS-ORTHENTS,Average 30 years,3467
Kerala,PSAMMENTS-ORTHENTS,Average 30 years,3254
Kerala,USTALFS-TROPEPTS,Average 30 years,3131
Kerala,FLUVENTS-ORTHENTS,Average 30 years,3667
Kerala,FLUVENTS-ORTHENTS,Average 30 years,2907
Kerala,ORTHENTS-TROPEPTS,Average 30 years,2329
Kerala,DYSTROPEPTS-ORTHENTS,Average 30 years,2564
Kerala,PSAMMENTS-ORTHENTS,Average 30 years,3130
Kerala,DYSTROPEPTS-ORTHENTS,Average 30 years,1943
Orissa,USTALF/USTOLLS - 100%,Average 30 years,1690
Orissa,LOAMY ALFISOLS - 55% ; ORTHIDS - 45%,Average 30 years,1588
Orissa,LOAMY ALFISOLS - 60% ; ORTHIDS - 50%,Average 30 years,1559
Orissa,LOAMY ALFISOLS - 60% ; USTALF/USTOLLS- 40%,Average 30 years,1552
Orissa,ORTHIDS - 40% ; SANDY ALFISOL - 60%,Average 30 years,1311
Orissa,USTALF/USTOLLS - 70% ; LOAMY ALFISOLS - 30%,Average 30 years,1511
Orissa,USTALF/USTOLLS - 65% ; LOAMY ALFISOLS - 35%,Average 30 years,1422
Orissa,LOAMY ALFISOLS - 80% ; SANDY ALFISOL - 20%,Average 30 years,1671
Orissa,USTALF/USTOLLS - 65% ; LOAMY ALFISOLS - 35%,Average 30 years,1361
Orissa,LOAMY ALFISOL - 50% ; USTALF/USTOLLS - 50%,Average 30 years,1425
Orissa,ORTHIDS - 50% ; LOAMY ALFISOLS - 50%,Average 30 years,1440
Orissa,USTALF/USTOLLS - 100%,Average 30 years,1764
Orissa,USTALF/USTOLLS - 100%,Average 30 years,1572
West Bengal,ORTHIDS - 100%,Average 30 years,1768
West Bengal,ORTHIDS - 100%,Average 30 years,1434
West Bengal,UDUPTS/UDALFS - 80% ; ORTHIDS - 20%,Average 30 years,1391
West Bengal,UDUPTS/UDALFS - 75% ; ORTHIDS - 25%,Average 30 years,1404
West Bengal,UDUPTS/UDALFS - 100%,Average 30 years,1391
West Bengal,USTALF/USTOLLS - 50% ; UDUPTS/UDALFS - 50%,Average 30 years,1373
West Bengal,ORTHIDS - 85% ; UDUPTS/UDALFS - 15%,Average 30 years,1622
West Bengal,INCEPTISOLS - 100%,Average 30 years,1831
West Bengal,INCEPTISOLS - 100%,Average 30 years,3390
West Bengal,INCEPTISOLS - 100%,Average 30 years,2759
West Bengal,INCEPTISOLS - 60% ; USTALF/USTOLLS - 40%,Average 30 years,1410
West Bengal,INCEPTISOLS - 100%,Average 30 years,2896
West Bengal,USTALF/USTOLLS - 100%,Average 30 years,1307
West Bengal,ORTHIDS - 100%,Average 30 years,1590
West Bengal,ORTHIDS - 100%,Average 30 years,1583
West Bengal,INCEPTISOLS - 60% ; UDUPTS/UDALFS - 40%,Average 30 years,2124
Bihar,INCEPTISOLS - 100%,Average 30 years,1234
Bihar,INCEPTISOLS - 100%,Average 30 years,1250
Bihar,INCEPTISOLS - 100%,Average 30 years,1258
Bihar,INCEPTISOLS - 100%,Average 30 years,1525
Bihar,INCEPTISOLS - 100%,Average 30 years,1483
Bihar,INCEPTISOLS - 100%,Average 30 years,1168
Bihar,INCEPTISOLS - 100%,Average 30 years,1110
Bihar,USTALF/USTOLLS - 60% ; INCEPTISOLS - 40%,Average 30 years,956
Bihar,INCEPTISOLS - 60% ; USTALF/USTOLLS - 40%,Average 30 years,1146
Jharkhand,INCEPTISOLS - 100%,Average 30 years,1316
Bihar,INCEPTISOLS - 80% ; USTALF/USTOLLS - 20%,Average 30 years,1079
Bihar,USTALF/USTOLLS - 100%,Average 30 years,1095
Jharkhand,USTALF/USTOLLS - 100%,Average 30 years,1319
Jharkhand,USTALF/USTOLLS - 100%,Average 30 years,1198
Jharkhand,USTALF/USTOLLS - 100%,Average 30 years,1237
Jharkhand,USTALF/USTOLLS - 100%,Average 30 years,1462
Jharkhand,USTALF/USTOLLS - 100%,Average 30 years,1353
Tamil Nadu,,Average 30 years,-1
